School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
St. Mary's South Side,36.54,35.75,72.29,1,1,1
Valle Catholic,26.45,17.93,44.38,2,4,2
Central (Park Hills),23.84,12.41,36.25,4,6,3
St. Pius X (Kansas City),11.19,21.91,33.1,10,2,4
Cardinal Ritter,10.71,19.54,30.25,12,3,5
Lutheran North,14.99,14.05,29.04,6,5,6
Center,14.65,11.47,26.12,7,7,7
Odessa,14.14,10.54,24.68,8,8,8
Blair Oaks,23.91,-3.03,20.88,3,31,9
Mexico,9.11,10.46,19.57,13,9,10
Aurora,5.33,9.79,15.12,19,10,11
Pleasant Hill,16.09,-1.23,14.86,5,25,12
Oak Grove,8.89,4.0,12.89,14,19,13
Summit Christian Academy,7.24,5.65,12.89,15,14,14
Kennett,6.55,5.28,11.83,18,16,15
Boonville,7.23,4.42,11.65,16,18,16
Ste. Genevieve,12.02,-0.59,11.43,9,24,17
Seneca,2.36,7.93,10.3,22,12,18
Chillicothe,4.85,4.89,9.75,20,17,19
Mountain Grove,0.23,8.19,8.43,26,11,20
Hollister,6.69,1.41,8.1,17,21,21
Owensville,10.74,-4.51,6.23,11,32,22
Priory,2.13,-1.58,0.55,23,29,23
Buffalo,1.71,-1.31,0.4,24,27,24
Reeds Spring,1.13,-1.28,-0.15,25,26,25
Potosi,-3.99,1.66,-2.33,28,20,26
Sullivan,-8.22,5.6,-2.63,34,15,27
Cassville,-9.02,5.97,-3.05,35,13,28
Westminster Christian Academy,-4.94,1.39,-3.55,29,22,29
Savannah,-5.56,0.12,-5.43,31,23,30
Eldon,4.42,-11.42,-7.0,21,40,31
St. Clair,-6.27,-1.91,-8.19,32,30,32
Dexter,-8.06,-1.37,-9.44,33,28,33
Southern Boone,-3.33,-11.07,-14.4,27,39,34
Osage,-5.24,-9.28,-14.52,30,37,35
Orchard Farm,-11.48,-5.59,-17.07,38,33,36
Salem,-11.75,-6.51,-18.26,39,34,37
Benton,-14.41,-6.87,-21.28,40,36,38
St. James,-14.7,-6.63,-21.33,42,35,39
St. Charles West,-9.69,-12.18,-21.87,36,42,40
Cameron,-11.36,-12.11,-23.47,37,41,41
Fulton,-15.52,-10.48,-26.0,43,38,42
Fredericktown,-14.43,-13.86,-28.28,41,43,43
Herculaneum,-16.91,-14.92,-31.83,45,46,44
Normandy Collaborative,-20.09,-14.1,-34.19,47,44,45
Doniphan,-17.46,-18.09,-35.55,46,47,46
Northeast (Kansas City),-23.59,-14.39,-37.98,49,45,47
Wright City,-16.32,-21.76,-38.08,44,50,48
Central (Kansas City),-20.35,-19.34,-39.7,48,48,49
Bayless,-23.9,-20.93,-44.83,51,49,50
Roosevelt,-23.7,-27.76,-51.46,50,51,51
