School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Carthage,26.48,26.78,53.26,3,1,1
Jackson,27.24,22.58,49.82,1,2,2
Webb City,27.03,20.99,48.02,2,4,3
Holt,20.69,22.47,43.17,5,3,4
Lebanon,21.15,18.49,39.64,4,8,5
Glendale,19.24,11.94,31.17,6,18,6
Chaminade College Prep,16.17,14.83,30.99,7,14,7
Fort Osage,12.55,17.85,30.4,13,9,8
Platte County,11.03,19.31,30.34,18,6,9
Republic,14.6,15.47,30.07,10,12,10
Rolla,13.1,16.88,29.98,12,10,11
Rockwood Summit,9.23,19.24,28.47,21,7,12
Eureka,13.46,14.44,27.89,11,15,13
Helias Catholic,11.96,15.88,27.84,17,11,14
Raytown,14.92,11.95,26.87,9,17,15
Camdenton,12.27,11.28,23.55,15,20,16
Grain Valley,7.56,15.11,22.67,25,13,17
Ft. Zumwalt North,15.18,5.42,20.61,8,23,18
North Kansas City,0.12,20.14,20.26,32,5,19
Ladue Horton Watkins,9.07,9.81,18.88,22,22,20
Staley,7.0,11.8,18.8,26,19,21
Battle,12.25,4.57,16.82,16,25,22
Poplar Bluff,12.4,1.88,14.27,14,29,23
Parkway West,7.56,4.71,12.27,24,24,24
Seckman,8.82,2.13,10.95,23,28,25
Branson,0.29,9.88,10.17,31,21,26
Lafayette (Wildwood),-3.08,12.85,9.77,35,16,27
Belton,10.34,-0.75,9.59,19,32,28
Oak Park,4.98,2.95,7.94,27,26,29
Waynesville,9.58,-6.82,2.76,20,44,30
William Chrisman,3.17,-2.5,0.67,29,34,31
Fox,-4.16,2.78,-1.38,37,27,32
Washington,-0.51,-1.71,-2.22,33,33,33
Willard,-2.95,-2.51,-5.46,34,35,34
Mehlville,-3.99,-3.24,-7.23,36,37,35
Ft. Zumwalt South,-5.27,-4.22,-9.49,38,39,36
Parkview,-7.45,-3.03,-10.48,40,36,37
Central (St. Joseph),4.25,-15.0,-10.76,28,53,38
Liberty (Wentzville),-11.34,0.16,-11.19,46,30,39
Neosho,0.94,-12.51,-11.57,30,51,40
Central (Cape Girardeau),-14.2,-0.57,-14.77,49,31,41
Capital City,-11.18,-5.21,-16.39,45,41,42
Oakville,-13.39,-4.88,-18.27,48,40,43
Francis Howell Central,-10.22,-8.05,-18.28,43,46,44
Central (Springfield),-12.14,-6.71,-18.86,47,43,45
Ritenour,-10.8,-8.35,-19.15,44,47,46
Francis Howell North,-9.14,-10.38,-19.52,42,48,47
Ft. Zumwalt East,-6.78,-13.01,-19.79,39,52,48
Raytown South,-8.46,-11.73,-20.19,41,49,49
Smith-Cotton,-14.81,-6.32,-21.13,50,42,50
Parkway South,-19.13,-3.96,-23.09,53,38,51
Webster Groves,-19.59,-6.92,-26.51,54,45,52
Ruskin,-17.12,-11.98,-29.11,52,50,53
Truman,-15.75,-17.31,-33.05,51,54,54
